전체: 2156
완료: 937
미완: 1219

CT:  Current Time
ET:  Elasped Time
ETC: Estimated Time of Completion

                                CT                      ET      ETC
processing data ... 219/1219    2024-02-22 15:58:52     1.64    2024-02-22 16:26:09
processing data ... 220/1219    2024-02-22 15:58:54     2.07    2024-02-22 16:33:20
processing data ... 221/1219    2024-02-22 15:58:56     1.95    2024-02-22 16:31:18
processing data ... 222/1219    2024-02-22 15:58:57     1.6     2024-02-22 16:25:36
processing data ... 223/1219    2024-02-22 15:59:00     2.57    2024-02-22 16:41:40
processing data ... 224/1219    2024-02-22 15:59:02     1.81    2024-02-22 16:29:05
processing data ... 225/1219    2024-02-22 15:59:03     1.68    2024-02-22 16:26:48
processing data ... 226/1219    2024-02-22 15:59:05     1.85    2024-02-22 16:29:44
processing data ... 227/1219    2024-02-22 15:59:07     2.01    2024-02-22 16:32:18
processing data ... 228/1219    2024-02-22 15:59:09     1.79    2024-02-22 16:28:39
processing data ... 229/1219    2024-02-22 15:59:21     11.97   2024-02-22 19:16:49
processing data ... 230/1219    2024-02-22 15:59:32     10.68   2024-02-22 18:55:35
processing data ... 231/1219    2024-02-22 15:59:38     6.83    2024-02-22 17:52:06
processing data ... 232/1219    2024-02-22 15:59:40     1.82    2024-02-22 16:29:37
processing data ... 233/1219    2024-02-22 15:59:42     1.91    2024-02-22 16:31:01
processing data ... 234/1219    2024-02-22 15:59:46     3.76    2024-02-22 17:01:33
processing data ... 235/1219    2024-02-22 15:59:48     1.84    2024-02-22 16:29:56
processing data ... 236/1219    2024-02-22 15:59:51     3.5     2024-02-22 16:57:15
processing data ... 237/1219    2024-02-22 15:59:53     2.11    2024-02-22 16:34:28
processing data ... 238/1219    2024-02-22 15:59:55     2.12    2024-02-22 16:34:39
processing data ... 239/1219    2024-02-22 15:59:58     2.08    2024-02-22 16:34:00
processing data ... 240/1219    2024-02-22 16:00:01     3.0     2024-02-22 16:48:58
processing data ... 241/1219    2024-02-22 16:00:02     1.87    2024-02-22 16:30:29
processing data ... 242/1219    2024-02-22 16:00:04     2.07    2024-02-22 16:33:46
processing data ... 243/1219    2024-02-22 16:00:06     1.9     2024-02-22 16:31:00
processing data ... 244/1219    2024-02-22 16:00:08     1.98    2024-02-22 16:32:19
processing data ... 245/1219    2024-02-22 16:00:10     2.01    2024-02-22 16:32:48
processing data ... 246/1219    2024-02-22 16:00:13     2.17    2024-02-22 16:35:20
processing data ... 247/1219    2024-02-22 16:00:14     1.66    2024-02-22 16:27:04
processing data ... 248/1219    2024-02-22 16:00:18     3.37    2024-02-22 16:54:53
processing data ... 249/1219    2024-02-22 16:00:20     2.35    2024-02-22 16:38:19
processing data ... 250/1219    2024-02-22 16:00:22     1.69    2024-02-22 16:27:41
processing data ... 251/1219    2024-02-22 16:00:23     1.53    2024-02-22 16:24:59
processing data ... 252/1219    2024-02-22 16:00:25     1.87    2024-02-22 16:30:29
processing data ... 253/1219    2024-02-22 16:00:27     1.56    2024-02-22 16:25:30
processing data ... 254/1219    2024-02-22 16:00:29     2.02    2024-02-22 16:33:00
processing data ... 255/1219    2024-02-22 16:00:31     2.03    2024-02-22 16:33:08
processing data ... 256/1219    2024-02-22 16:00:32     1.59    2024-02-22 16:26:02
processing data ... 257/1219    2024-02-22 16:00:34     1.85    2024-02-22 16:30:11
processing data ... 258/1219    2024-02-22 16:00:36     1.61    2024-02-22 16:26:25
processing data ... 259/1219    2024-02-22 16:00:37     1.53    2024-02-22 16:25:06
processing data ... 260/1219    2024-02-22 16:00:39     1.82    2024-02-22 16:29:44
processing data ... 261/1219    2024-02-22 16:00:41     1.72    2024-02-22 16:28:05
processing data ... 262/1219    2024-02-22 16:00:43     2.26    2024-02-22 16:36:43
processing data ... 263/1219    2024-02-22 16:00:46     3.45    2024-02-22 16:55:41
processing data ... 264/1219    2024-02-22 16:00:49     2.1     2024-02-22 16:34:17
processing data ... 265/1219    2024-02-22 16:00:51     2.09    2024-02-22 16:34:07
processing data ... 266/1219    2024-02-22 16:00:53     1.94    2024-02-22 16:31:40
processing data ... 267/1219    2024-02-22 16:00:55     2.8     2024-02-22 16:45:22
processing data ... 268/1219    2024-02-22 16:00:57     2.03    2024-02-22 16:33:07
processing data ... 269/1219    2024-02-22 16:00:59     1.99    2024-02-22 16:32:31
processing data ... 270/1219    2024-02-22 16:01:01     1.73    2024-02-22 16:28:23
processing data ... 271/1219    2024-02-22 16:01:05     3.55    2024-02-22 16:57:08
processing data ... 272/1219    2024-02-22 16:01:06     1.75    2024-02-22 16:28:42
processing data ... 273/1219    2024-02-22 16:01:08     1.77    2024-02-22 16:29:04
processing data ... 274/1219    2024-02-22 16:01:10     2.08    2024-02-22 16:33:58
processing data ... 275/1219    2024-02-22 16:01:12     1.65    2024-02-22 16:27:09
processing data ... 276/1219    2024-02-22 16:01:13     1.56    2024-02-22 16:25:48
processing data ... 277/1219    2024-02-22 16:01:16     2.86    2024-02-22 16:46:08
processing data ... 278/1219    2024-02-22 16:01:18     2.06    2024-02-22 16:33:36
