전체: 2156
완료: 937
미완: 1219

CT:  Current Time
ET:  Elasped Time
ETC: Estimated Time of Completion

                                CT                      ET      ETC
processing data ... 1012/1219   2024-02-22 16:22:59     1.46    2024-02-22 16:28:01
processing data ... 1013/1219   2024-02-22 16:23:01     1.79    2024-02-22 16:29:10
processing data ... 1014/1219   2024-02-22 16:23:03     2.43    2024-02-22 16:31:21
processing data ... 1015/1219   2024-02-22 16:23:04     1.23    2024-02-22 16:27:15
processing data ... 1016/1219   2024-02-22 16:23:05     0.95    2024-02-22 16:26:17
processing data ... 1017/1219   2024-02-22 16:23:07     2.08    2024-02-22 16:30:07
processing data ... 1018/1219   2024-02-22 16:23:09     1.47    2024-02-22 16:28:05
processing data ... 1019/1219   2024-02-22 16:23:10     1.2     2024-02-22 16:27:10
processing data ... 1020/1219   2024-02-22 16:23:11     1.36    2024-02-22 16:27:42
processing data ... 1021/1219   2024-02-22 16:23:13     1.33    2024-02-22 16:27:36
processing data ... 1022/1219   2024-02-22 16:23:14     1.55    2024-02-22 16:28:19
processing data ... 1023/1219   2024-02-22 16:23:16     1.5     2024-02-22 16:28:10
processing data ... 1024/1219   2024-02-22 16:23:18     1.72    2024-02-22 16:28:54
processing data ... 1025/1219   2024-02-22 16:23:19     1.1     2024-02-22 16:26:52
processing data ... 1026/1219   2024-02-22 16:23:21     2.79    2024-02-22 16:32:21
processing data ... 1027/1219   2024-02-22 16:23:23     1.36    2024-02-22 16:27:43
processing data ... 1028/1219   2024-02-22 16:23:25     2.35    2024-02-22 16:30:54
processing data ... 1029/1219   2024-02-22 16:23:26     1.08    2024-02-22 16:26:52
processing data ... 1030/1219   2024-02-22 16:23:28     1.82    2024-02-22 16:29:12
processing data ... 1031/1219   2024-02-22 16:23:30     1.7     2024-02-22 16:28:50
processing data ... 1032/1219   2024-02-22 16:23:32     2.48    2024-02-22 16:31:15
processing data ... 1033/1219   2024-02-22 16:23:34     1.44    2024-02-22 16:28:02
processing data ... 1034/1219   2024-02-22 16:23:36     1.95    2024-02-22 16:29:36
processing data ... 1035/1219   2024-02-22 16:23:38     1.95    2024-02-22 16:29:36
processing data ... 1036/1219   2024-02-22 16:23:40     2.27    2024-02-22 16:30:35
processing data ... 1037/1219   2024-02-22 16:23:41     1.42    2024-02-22 16:27:59
processing data ... 1038/1219   2024-02-22 16:23:43     1.51    2024-02-22 16:28:15
processing data ... 1039/1219   2024-02-22 16:23:45     2.24    2024-02-22 16:30:28
processing data ... 1040/1219   2024-02-22 16:23:48     2.8     2024-02-22 16:32:09
processing data ... 1041/1219   2024-02-22 16:23:50     2.07    2024-02-22 16:29:59
processing data ... 1042/1219   2024-02-22 16:23:52     1.87    2024-02-22 16:29:23
processing data ... 1043/1219   2024-02-22 16:23:53     1.59    2024-02-22 16:28:34
processing data ... 1044/1219   2024-02-22 16:24:00     6.47    2024-02-22 16:42:52
processing data ... 1045/1219   2024-02-22 16:24:01     1.4     2024-02-22 16:28:05
processing data ... 1046/1219   2024-02-22 16:24:03     2.03    2024-02-22 16:29:55
processing data ... 1047/1219   2024-02-22 16:24:04     1.21    2024-02-22 16:27:33
processing data ... 1048/1219   2024-02-22 16:24:06     1.52    2024-02-22 16:28:26
processing data ... 1049/1219   2024-02-22 16:24:07     1.28    2024-02-22 16:27:44
processing data ... 1050/1219   2024-02-22 16:24:10     2.3     2024-02-22 16:30:38
processing data ... 1051/1219   2024-02-22 16:24:11     1.9     2024-02-22 16:29:31
processing data ... 1052/1219   2024-02-22 16:24:13     1.94    2024-02-22 16:29:38
processing data ... 1053/1219   2024-02-22 16:24:15     1.63    2024-02-22 16:28:45
processing data ... 1054/1219   2024-02-22 16:24:17     1.96    2024-02-22 16:29:40
processing data ... 1055/1219   2024-02-22 16:24:19     2.02    2024-02-22 16:29:51
processing data ... 1056/1219   2024-02-22 16:24:20     1.09    2024-02-22 16:27:18
processing data ... 1057/1219   2024-02-22 16:24:22     1.88    2024-02-22 16:29:26
processing data ... 1058/1219   2024-02-22 16:24:24     2.07    2024-02-22 16:29:58
processing data ... 1059/1219   2024-02-22 16:24:26     1.83    2024-02-22 16:29:19
processing data ... 1060/1219   2024-02-22 16:24:28     1.76    2024-02-22 16:29:07
processing data ... 1061/1219   2024-02-22 16:24:31     3.75    2024-02-22 16:34:24
processing data ... 1062/1219   2024-02-22 16:24:33     2.06    2024-02-22 16:29:57
processing data ... 1063/1219   2024-02-22 16:24:34     0.88    2024-02-22 16:26:51
processing data ... 1064/1219   2024-02-22 16:24:36     1.46    2024-02-22 16:28:22
processing data ... 1065/1219   2024-02-22 16:24:37     1.64    2024-02-22 16:28:51
processing data ... 1066/1219   2024-02-22 16:24:39     1.52    2024-02-22 16:28:32
processing data ... 1067/1219   2024-02-22 16:24:41     1.57    2024-02-22 16:28:39
processing data ... 1068/1219   2024-02-22 16:24:43     2.09    2024-02-22 16:29:58
processing data ... 1069/1219   2024-02-22 16:24:45     2.42    2024-02-22 16:30:48
processing data ... 1070/1219   2024-02-22 16:24:48     2.69    2024-02-22 16:31:28
processing data ... 1071/1219   2024-02-22 16:24:50     1.91    2024-02-22 16:29:33
processing data ... 1072/1219   2024-02-22 16:24:51     1.67    2024-02-22 16:28:57
processing data ... 1073/1219   2024-02-22 16:24:53     1.76    2024-02-22 16:29:10
processing data ... 1074/1219   2024-02-22 16:24:54     1.14    2024-02-22 16:27:39
processing data ... 1075/1219   2024-02-22 16:24:56     2.2     2024-02-22 16:30:13
processing data ... 1076/1219   2024-02-22 16:24:58     1.34    2024-02-22 16:28:10
processing data ... 1077/1219   2024-02-22 16:24:59     1.59    2024-02-22 16:28:45
processing data ... 1078/1219   2024-02-22 16:25:01     1.64    2024-02-22 16:28:52
processing data ... 1079/1219   2024-02-22 16:25:03     1.62    2024-02-22 16:28:50
processing data ... 1080/1219   2024-02-22 16:25:04     1.28    2024-02-22 16:28:01
processing data ... 1081/1219   2024-02-22 16:25:10     5.64    2024-02-22 16:38:08
processing data ... 1082/1219   2024-02-22 16:25:11     1.85    2024-02-22 16:29:24
processing data ... 1083/1219   2024-02-22 16:25:13     1.53    2024-02-22 16:28:42
processing data ... 1084/1219   2024-02-22 16:25:14     1.2     2024-02-22 16:27:56
processing data ... 1085/1219   2024-02-22 16:25:15     1.27    2024-02-22 16:28:06
processing data ... 1086/1219   2024-02-22 16:25:16     1.12    2024-02-22 16:27:45
processing data ... 1087/1219   2024-02-22 16:25:19     2.47    2024-02-22 16:30:45
processing data ... 1088/1219   2024-02-22 16:25:20     1.0     2024-02-22 16:27:31
processing data ... 1089/1219   2024-02-22 16:25:21     1.54    2024-02-22 16:28:42
processing data ... 1090/1219   2024-02-22 16:25:23     1.9     2024-02-22 16:29:28
processing data ... 1091/1219   2024-02-22 16:25:25     1.59    2024-02-22 16:28:48
processing data ... 1092/1219   2024-02-22 16:25:27     2.23    2024-02-22 16:30:11
processing data ... 1093/1219   2024-02-22 16:25:29     1.99    2024-02-22 16:29:40
processing data ... 1094/1219   2024-02-22 16:25:30     1.25    2024-02-22 16:28:07
processing data ... 1095/1219   2024-02-22 16:25:32     1.43    2024-02-22 16:28:29
processing data ... 1096/1219   2024-02-22 16:25:33     1.3     2024-02-22 16:28:13
processing data ... 1097/1219   2024-02-22 16:25:35     1.37    2024-02-22 16:28:21
processing data ... 1098/1219   2024-02-22 16:25:38     3.18    2024-02-22 16:32:02
processing data ... 1099/1219   2024-02-22 16:25:40     2.12    2024-02-22 16:29:54
processing data ... 1100/1219   2024-02-22 16:25:42     2.12    2024-02-22 16:29:54
processing data ... 1101/1219   2024-02-22 16:25:43     1.1     2024-02-22 16:27:53
processing data ... 1102/1219   2024-02-22 16:25:45     1.59    2024-02-22 16:28:51
processing data ... 1103/1219   2024-02-22 16:25:46     1.56    2024-02-22 16:28:47
processing data ... 1104/1219   2024-02-22 16:25:48     1.83    2024-02-22 16:29:18
processing data ... 1105/1219   2024-02-22 16:25:49     1.23    2024-02-22 16:28:09
processing data ... 1106/1219   2024-02-22 16:25:51     2.12    2024-02-22 16:29:51
processing data ... 1107/1219   2024-02-22 16:25:52     1.05    2024-02-22 16:27:50
processing data ... 1108/1219   2024-02-22 16:25:54     1.16    2024-02-22 16:28:02
processing data ... 1109/1219   2024-02-22 16:25:55     1.51    2024-02-22 16:28:42
processing data ... 1110/1219   2024-02-22 16:25:57     1.8     2024-02-22 16:29:14
processing data ... 1111/1219   2024-02-22 16:25:59     1.63    2024-02-22 16:28:54
processing data ... 1112/1219   2024-02-22 16:26:00     1.74    2024-02-22 16:29:07
processing data ... 1113/1219   2024-02-22 16:26:02     1.3     2024-02-22 16:28:20
processing data ... 1114/1219   2024-02-22 16:26:03     1.31    2024-02-22 16:28:21
processing data ... 1115/1219   2024-02-22 16:26:04     1.05    2024-02-22 16:27:53
processing data ... 1116/1219   2024-02-22 16:26:05     1.09    2024-02-22 16:27:57
processing data ... 1117/1219   2024-02-22 16:26:07     1.87    2024-02-22 16:29:17
processing data ... 1118/1219   2024-02-22 16:26:09     1.98    2024-02-22 16:29:29
processing data ... 1119/1219   2024-02-22 16:26:10     1.39    2024-02-22 16:28:30
processing data ... 1120/1219   2024-02-22 16:26:11     1.13    2024-02-22 16:28:04
processing data ... 1121/1219   2024-02-22 16:26:13     1.7     2024-02-22 16:29:00
processing data ... 1122/1219   2024-02-22 16:26:15     2.2     2024-02-22 16:29:49
processing data ... 1123/1219   2024-02-22 16:26:18     2.23    2024-02-22 16:29:52
processing data ... 1124/1219   2024-02-22 16:26:19     1.13    2024-02-22 16:28:06
processing data ... 1125/1219   2024-02-22 16:26:20     1.81    2024-02-22 16:29:11
processing data ... 1126/1219   2024-02-22 16:26:22     1.33    2024-02-22 16:28:25
processing data ... 1127/1219   2024-02-22 16:26:23     1.34    2024-02-22 16:28:27
processing data ... 1128/1219   2024-02-22 16:26:25     1.68    2024-02-22 16:28:58
processing data ... 1129/1219   2024-02-22 16:26:26     1.1     2024-02-22 16:28:05
processing data ... 1130/1219   2024-02-22 16:26:28     1.63    2024-02-22 16:28:53
processing data ... 1131/1219   2024-02-22 16:26:29     1.92    2024-02-22 16:29:19
processing data ... 1132/1219   2024-02-22 16:26:31     1.49    2024-02-22 16:28:40
processing data ... 1133/1219   2024-02-22 16:26:33     2.18    2024-02-22 16:29:41
processing data ... 1134/1219   2024-02-22 16:26:35     1.75    2024-02-22 16:29:04
processing data ... 1135/1219   2024-02-22 16:26:37     1.99    2024-02-22 16:29:24
processing data ... 1136/1219   2024-02-22 16:26:39     2.07    2024-02-22 16:29:31
processing data ... 1137/1219   2024-02-22 16:26:41     2.5     2024-02-22 16:30:07
processing data ... 1138/1219   2024-02-22 16:26:44     2.78    2024-02-22 16:30:29
processing data ... 1139/1219   2024-02-22 16:26:46     1.52    2024-02-22 16:28:47
processing data ... 1140/1219   2024-02-22 16:26:47     1.19    2024-02-22 16:28:21
processing data ... 1141/1219   2024-02-22 16:26:48     1.35    2024-02-22 16:28:33
processing data ... 1142/1219   2024-02-22 16:26:50     1.83    2024-02-22 16:29:11
processing data ... 1143/1219   2024-02-22 16:26:51     1.33    2024-02-22 16:28:32
processing data ... 1144/1219   2024-02-22 16:26:53     1.52    2024-02-22 16:28:47
processing data ... 1145/1219   2024-02-22 16:26:56     3.23    2024-02-22 16:30:55
processing data ... 1146/1219   2024-02-22 16:26:59     2.73    2024-02-22 16:30:18
processing data ... 1147/1219   2024-02-22 16:27:00     1.34    2024-02-22 16:28:36
processing data ... 1148/1219   2024-02-22 16:27:02     1.58    2024-02-22 16:28:54
processing data ... 1149/1219   2024-02-22 16:27:04     2.61    2024-02-22 16:30:07
processing data ... 1150/1219   2024-02-22 16:27:07     2.2     2024-02-22 16:29:38
processing data ... 1151/1219   2024-02-22 16:27:08     1.26    2024-02-22 16:28:34
processing data ... 1152/1219   2024-02-22 16:27:09     1.07    2024-02-22 16:28:20
processing data ... 1153/1219   2024-02-22 16:27:10     0.99    2024-02-22 16:28:15
processing data ... 1154/1219   2024-02-22 16:27:12     1.76    2024-02-22 16:29:06
processing data ... 1155/1219   2024-02-22 16:27:13     1.3     2024-02-22 16:28:36
processing data ... 1156/1219   2024-02-22 16:27:15     1.71    2024-02-22 16:29:03
processing data ... 1157/1219   2024-02-22 16:27:16     1.23    2024-02-22 16:28:32
processing data ... 1158/1219   2024-02-22 16:27:19     2.88    2024-02-22 16:30:15
processing data ... 1159/1219   2024-02-22 16:27:20     1.2     2024-02-22 16:28:32
processing data ... 1160/1219   2024-02-22 16:27:23     2.83    2024-02-22 16:30:10
processing data ... 1161/1219   2024-02-22 16:27:25     1.86    2024-02-22 16:29:13
processing data ... 1162/1219   2024-02-22 16:27:26     1.34    2024-02-22 16:28:42
processing data ... 1163/1219   2024-02-22 16:27:32     6.01    2024-02-22 16:33:09
processing data ... 1164/1219   2024-02-22 16:27:34     1.55    2024-02-22 16:28:59
processing data ... 1165/1219   2024-02-22 16:27:37     3.1     2024-02-22 16:30:24
processing data ... 1166/1219   2024-02-22 16:27:38     1.5     2024-02-22 16:28:58
processing data ... 1167/1219   2024-02-22 16:27:41     2.62    2024-02-22 16:29:57
processing data ... 1168/1219   2024-02-22 16:27:43     2.03    2024-02-22 16:29:26
processing data ... 1169/1219   2024-02-22 16:27:44     1.08    2024-02-22 16:28:38
processing data ... 1170/1219   2024-02-22 16:27:47     3.01    2024-02-22 16:30:14
processing data ... 1171/1219   2024-02-22 16:27:49     2.12    2024-02-22 16:29:31
processing data ... 1172/1219   2024-02-22 16:27:51     1.81    2024-02-22 16:29:16
processing data ... 1173/1219   2024-02-22 16:27:52     1.3     2024-02-22 16:28:52
processing data ... 1174/1219   2024-02-22 16:27:54     1.34    2024-02-22 16:28:54
processing data ... 1175/1219   2024-02-22 16:27:55     1.18    2024-02-22 16:28:47
processing data ... 1176/1219   2024-02-22 16:27:56     1.25    2024-02-22 16:28:50
processing data ... 1177/1219   2024-02-22 16:27:57     1.16    2024-02-22 16:28:46
processing data ... 1178/1219   2024-02-22 16:27:59     2.11    2024-02-22 16:29:26
processing data ... 1179/1219   2024-02-22 16:28:01     1.58    2024-02-22 16:29:04
processing data ... 1180/1219   2024-02-22 16:28:02     1.17    2024-02-22 16:28:48
processing data ... 1181/1219   2024-02-22 16:28:03     1.48    2024-02-22 16:29:00
processing data ... 1182/1219   2024-02-22 16:28:05     1.93    2024-02-22 16:29:17
processing data ... 1183/1219   2024-02-22 16:28:07     2.01    2024-02-22 16:29:20
processing data ... 1184/1219   2024-02-22 16:28:09     1.24    2024-02-22 16:28:52
processing data ... 1185/1219   2024-02-22 16:28:10     1.19    2024-02-22 16:28:50
processing data ... 1186/1219   2024-02-22 16:28:11     1.39    2024-02-22 16:28:57
processing data ... 1187/1219   2024-02-22 16:28:13     2.12    2024-02-22 16:29:21
processing data ... 1188/1219   2024-02-22 16:28:15     2.01    2024-02-22 16:29:18
processing data ... 1189/1219   2024-02-22 16:28:17     1.39    2024-02-22 16:28:58
processing data ... 1190/1219   2024-02-22 16:28:19     1.86    2024-02-22 16:29:12
processing data ... 1191/1219   2024-02-22 16:28:21     1.92    2024-02-22 16:29:14
processing data ... 1192/1219   2024-02-22 16:28:22     1.6     2024-02-22 16:29:05
processing data ... 1193/1219   2024-02-22 16:28:24     2.02    2024-02-22 16:29:17
processing data ... 1194/1219   2024-02-22 16:28:26     1.81    2024-02-22 16:29:11
processing data ... 1195/1219   2024-02-22 16:28:28     1.91    2024-02-22 16:29:14
processing data ... 1196/1219   2024-02-22 16:28:29     1.44    2024-02-22 16:29:03
processing data ... 1197/1219   2024-02-22 16:28:32     2.27    2024-02-22 16:29:21
processing data ... 1198/1219   2024-02-22 16:28:34     2.04    2024-02-22 16:29:16
processing data ... 1199/1219   2024-02-22 16:28:36     2.12    2024-02-22 16:29:18
processing data ... 1200/1219   2024-02-22 16:28:38     2.04    2024-02-22 16:29:17
processing data ... 1201/1219   2024-02-22 16:28:43     5.03    2024-02-22 16:30:13
processing data ... 1202/1219   2024-02-22 16:28:48     5.3     2024-02-22 16:30:18
processing data ... 1203/1219   2024-02-22 16:28:49     1.0     2024-02-22 16:29:05
processing data ... 1204/1219   2024-02-22 16:28:51     1.43    2024-02-22 16:29:12
processing data ... 1205/1219   2024-02-22 16:28:52     1.9     2024-02-22 16:29:19
processing data ... 1206/1219   2024-02-22 16:28:54     2.05    2024-02-22 16:29:21
processing data ... 1207/1219   2024-02-22 16:28:56     1.35    2024-02-22 16:29:12
processing data ... 1208/1219   2024-02-22 16:28:57     1.57    2024-02-22 16:29:15
processing data ... 1209/1219   2024-02-22 16:28:59     1.58    2024-02-22 16:29:15
processing data ... 1210/1219   2024-02-22 16:29:00     1.51    2024-02-22 16:29:14
processing data ... 1211/1219   2024-02-22 16:29:02     1.33    2024-02-22 16:29:12
processing data ... 1212/1219   2024-02-22 16:29:04     1.96    2024-02-22 16:29:18
processing data ... 1213/1219   2024-02-22 16:29:06     1.9     2024-02-22 16:29:17
processing data ... 1214/1219   2024-02-22 16:29:07     1.26    2024-02-22 16:29:13
processing data ... 1215/1219   2024-02-22 16:29:09     1.57    2024-02-22 16:29:15
processing data ... 1216/1219   2024-02-22 16:29:10     1.93    2024-02-22 16:29:16
processing data ... 1217/1219   2024-02-22 16:29:12     1.15    2024-02-22 16:29:14
processing data ... 1218/1219   2024-02-22 16:29:13     1.83    2024-02-22 16:29:15
processing data ... 1219/1219   2024-02-22 16:29:15     1.82    2024-02-22 16:29:15
